# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
65.9952769, 60.3439693, 26.7070143, -1.1677344, -0.0000924, 29.5744311, 2.0200739
66.9952053, 61.2637852, 27.0991795, -1.1678287, -0.0000961, 29.6426522, 2.0049244
67.9951337, 62.1836398, 27.4912567, -1.1679267, -0.0000999, 29.7102069, 1.9898885
68.9950622, 63.1035344, 27.8832423, -1.1680285, -0.0001037, 29.7771034, 1.9749654
69.9949906, 64.0234679, 28.2751318, -1.1681341, -0.0001075, 29.8433499, 1.9601542
70.9949190, 64.9434443, 28.6669228, -1.1682434, -0.0001112, 29.9089545, 1.9454541
71.9948475, 65.8634652, 29.0586119, -1.1683565, -0.0001150, 29.9739252, 1.9308643
72.9947759, 66.7835294, 29.4501943, -1.1684734, -0.0001188, 30.0382697, 1.9163838
73.9947044, 67.7036410, 29.8416679, -1.1685941, -0.0001226, 30.1019956, 1.9020120
74.9946328, 68.6238014, 30.2330291, -1.1687185, -0.0001263, 30.1651105, 1.8877479
75.9945612, 69.5440095, 30.6242734, -1.1688467, -0.0001301, 30.2276217, 1.8735908
76.9944897, 70.4642694, 31.0153983, -1.1689787, -0.0001339, 30.2895366, 1.8595399
77.9944181, 71.3845824, 31.4064003, -1.1691144, -0.0001376, 30.3508623, 1.8455943
78.9943465, 72.3049476, 31.7972750, -1.1692540, -0.0001414, 30.4116058, 1.8317534
79.9942750, 73.2253689, 32.1880198, -1.1693972, -0.0001452, 30.4717740, 1.8180162
80.9942034, 74.1458477, 32.5786315, -1.1695443, -0.0001490, 30.5313737, 1.8043821
81.9941319, 75.0663830, 32.9691052, -1.1696951, -0.0001527, 30.5904117, 1.7908502
82.9940603, 75.9869788, 33.3594388, -1.1698497, -0.0001565, 30.6488945, 1.7774198
83.9939887, 76.9076365, 33.7496286, -1.1700081, -0.0001603, 30.7068285, 1.7640901
84.9939172, 77.8283551, 34.1396702, -1.1701703, -0.0001640, 30.7642202, 1.7508603
85.9938456, 78.7491384, 34.5295611, -1.1703362, -0.0001678, 30.8210758, 1.7377298
86.9937740, 79.6699880, 34.9192978, -1.1705059, -0.0001716, 30.8774015, 1.7246978
87.9937025, 80.5909028, 35.3088758, -1.1706794, -0.0001754, 30.9332034, 1.7117635
88.9936309, 81.5118867, 35.6982927, -1.1708566, -0.0001791, 30.9884875, 1.6989262
89.9935594, 82.4329412, 36.0875449, -1.1710376, -0.0001829, 31.0432596, 1.6861851
90.9934878, 83.3540652, 36.4766280, -1.1712224, -0.0001867, 31.0975255, 1.6735396
91.9934162, 84.2752627, 36.8655394, -1.1714110, -0.0001905, 31.1512911, 1.6609890
92.9933447, 85.1965350, 37.2542758, -1.1716033, -0.0001942, 31.2045618, 1.6485325
93.9932731, 86.1178812, 37.6428326, -1.1717994, -0.0001980, 31.2573432, 1.6361694
94.9932015, 87.0393051, 38.0312072, -1.1719993, -0.0002018, 31.3096408, 1.6238990
95.9931300, 87.9608081, 38.4193963, -1.1722029, -0.0002055, 31.3614600, 1.6117206
96.9930584, 88.8823893, 38.8073953, -1.1724103, -0.0002093, 31.4128061, 1.5996336
97.9929868, 89.8040525, 39.1952018, -1.1726215, -0.0002131, 31.4636842, 1.5876372
98.9929153, 90.7257991, 39.5828122, -1.1728365, -0.0002169, 31.5140995, 1.5757307
99.9928437, 91.6476282, 39.9702220, -1.1730552, -0.0002206, 31.5640572, 1.5639136
100.9927722, 92.5695434, 40.3574288, -1.1732777, -0.0002244, 31.6135621, 1.5521851
101.9927006, 93.4915464, 40.7444290, -1.1735040, -0.0002282, 31.6626192, 1.5405445
102.9926290, 94.4136360, 41.1312182, -1.1737341, -0.0002320, 31.7112334, 1.5289913
103.9925575, 95.3358161, 41.5177939, -1.1739679, -0.0002357, 31.7594095, 1.5175247
104.9924859, 96.2580881, 41.9041525, -1.1742055, -0.0002395, 31.8071521, 1.5061440
105.9924143, 97.1804510, 42.2902895, -1.1744468, -0.0002433, 31.8544658, 1.4948488
106.9923428, 98.1029086, 42.6762025, -1.1746920, -0.0002470, 31.9013554, 1.4836382
107.9922712, 99.0254623, 43.0618880, -1.1749409, -0.0002508, 31.9478253, 1.4725117
108.9921997, 99.9481112, 43.4473414, -1.1751936, -0.0002546, 31.9938800, 1.4614687
109.9921281, 100.8708589, 43.8325602, -1.1754500, -0.0002584, 32.0395238, 1.4505084
110.9920565, 101.7937068, 44.2175410, -1.1757103, -0.0002621, 32.0847611, 1.4396304
111.9919850, 102.7166541, 44.6022792, -1.1759743, -0.0002659, 32.1295961, 1.4288339
112.9919134, 103.6397045, 44.9867723, -1.1762421, -0.0002697, 32.1740332, 1.4181185
113.9918418, 104.5628592, 45.3710168, -1.1765136, -0.0002735, 32.2180764, 1.4074833
114.9917703, 105.4861175, 45.7550082, -1.1767889, -0.0002772, 32.2617298, 1.3969280
115.9916987, 106.4094829, 46.1387440, -1.1770680, -0.0002810, 32.3049975, 1.3864518
116.9916272, 107.3329569, 46.5222206, -1.1773509, -0.0002848, 32.3478836, 1.3760541
117.9915556, 108.2565385, 46.9054337, -1.1776375, -0.0002886, 32.3903918, 1.3657344
118.9914840, 109.1802314, 47.2883805, -1.1779280, -0.0002923, 32.4325262, 1.3554922
119.9914125, 110.1040370, 47.6710577, -1.1782222, -0.0002961, 32.4742905, 1.3453267
120.9913409, 111.0279543, 48.0534607, -1.1785201, -0.0002999, 32.5156886, 1.3352375
121.9912693, 111.9519870, 48.4355869, -1.1788219, -0.0003036, 32.5567242, 1.3252239
122.9911978, 112.8761364, 48.8174329, -1.1791274, -0.0003074, 32.5974009, 1.3152854
123.9911262, 113.8004017, 49.1989942, -1.1794366, -0.0003112, 32.6377225, 1.3054215
124.9910547, 114.7247864, 49.5802681, -1.1797497, -0.0003150, 32.6776925, 1.2956315
125.9909831, 115.6492918, 49.9612512, -1.1800665, -0.0003187, 32.7173145, 1.2859150
126.9909115, 116.5739172, 50.3419390, -1.1803871, -0.0003225, 32.7565919, 1.2762713
127.9908400, 117.4986660, 50.7223290, -1.1807115, -0.0003263, 32.7955282, 1.2667000
128.9907684, 118.4235396, 51.1024175, -1.1810397, -0.0003301, 32.8341269, 1.2572004
129.9906968, 119.3485372, 51.4822001, -1.1813716, -0.0003338, 32.8723913, 1.2477721
130.9906253, 120.2736621, 51.8616743, -1.1817073, -0.0003376, 32.9103248, 1.2384145
131.9905537, 121.1989158, 52.2408364, -1.1820467, -0.0003414, 32.9479306, 1.2291270
132.9904822, 122.1242976, 52.6196820, -1.1823900, -0.0003452, 32.9852119, 1.2199092
133.9904106, 123.0498107, 52.9982086, -1.1827370, -0.0003489, 33.0221721, 1.2107606
134.9903390, 123.9754565, 53.3764125, -1.1830878, -0.0003527, 33.0588142, 1.2016805
135.9902675, 124.9012343, 53.7542893, -1.1834424, -0.0003565, 33.0951414, 1.1926686
136.9901959, 125.8271474, 54.1318365, -1.1838007, -0.0003603, 33.1311568, 1.1837242
137.9901243, 126.7531971, 54.5090503, -1.1841628, -0.0003640, 33.1668635, 1.1748469
138.9900528, 127.6793827, 54.8859265, -1.1845287, -0.0003678, 33.2022643, 1.1660362
139.9899812, 128.6057075, 55.2624622, -1.1848984, -0.0003716, 33.2373625, 1.1572915
140.9899096, 129.5321728, 55.6386541, -1.1852718, -0.0003754, 33.2721607, 1.1486124
141.9898381, 130.4587780, 56.0144977, -1.1856490, -0.0003791, 33.3066621, 1.1399985
142.9897665, 131.3855262, 56.3899902, -1.1860300, -0.0003829, 33.3408694, 1.1314491
143.9896950, 132.3124187, 56.7651282, -1.1864148, -0.0003867, 33.3747856, 1.1229638
144.9896234, 133.2394549, 57.1399072, -1.1868033, -0.0003904, 33.4084133, 1.1145422
145.9895518, 134.1666380, 57.5143245, -1.1871956, -0.0003942, 33.4417554, 1.1061837
146.9894803, 135.0939693, 57.8883765, -1.1875917, -0.0003980, 33.4748146, 1.0978880
147.9894087, 136.0214481, 58.2620590, -1.1879915, -0.0004018, 33.5075936, 1.0896544
